index,label,n_failed,error_type,models_failed,song,artists,lyrics
0,0,5,FP,"regex,roberta,llama,qwen,bert",Sacrifices,"['Drake', '2 Chainz', 'Young Thug']","Translations Português Sacrifices Lyrics Wrote this shit  January 21Baby girl  I had to run  I'll be back a couple months Kendall turned 21  was up the street with 21They could see me online  but they won't see me on the ones I got Dubai plates in the California state I got her waitin' at my place  I got no baby on the way I'm talkin' Baby like Stunna  I'm talkin' Baby like Face Lost millions in the past  I'm talkin' maybe like eight Couple niggas from the city Wishin' on a star  could they be like Drake Sorry  no  not today  you gotta find your own way Big dog from the 6  I'm talkin' Dogg like Nate My shit be raw out the gate  I don't need another take40 got house on the lake  I ain't know we had a lake She complainin' how I'm late  I ain't know it was a date Niggas see me in person First thing they say is  ""I know you need a break.""Hell naw  I feel great  ready now  why wait?Like a kiss from a rose I could be the one to seal your whole fate So be careful what you think  think about what you gon' say Gotta deal with people straight  I got my 23's laced It's a marathon  not a sprint  but I still gotta win the race  yeah And I'm convinced I made sacrifices  I been ballin' ever since We seein' so many blessings  shit don't make no sense Someone watchin' over us  so shout goes out to Him Yeah  I'm convinced I made sacrifices  I been ballin' ever since Yeah  I did some wrong  I had no choice in my defense Someone watchin' over us  so shout goes out to—2 Chainz  I'm a real one Few shows  that's a mil run When she bust it down I said  ""Thanks for givin' to me "" like a pilgrim Cold world'll be chillin'Earmuffs on the children Used to trap out the Hilton Got wood on the Cartiers: that's a face full of splinters Count a bankroll for dinner This the wrong place to enter Phone sex for breakfast  all kinda women text us Met her at the Super Bowl Told her I stayed down the street from Texas A-Town  I stay down  yeah it's all in the wrist This one here out the fence Trap jumpin' like “tha Carter”  mean it jumpin' like Vince Moved on from the election Introduced her to the plug Can't believe they tried to take the connection Ooh  girl  you a blessin'  fine ass  be finessin'Yeah I love my fans but I don't wanna take pictures in the restroom Drench God with the 6 God Point guard and the two guard""Pretty Girls Like Trap Music"" so I woke up with my wood hard You might also like And I'm convinced I made sacrifices  I been ballin' ever since We seein' so many blessings  shit don't make no sense Someone watchin' over us  so shout goes out to Him Yeah  I'm convinced I made sacrifices  I been ballin' ever since Yeah  I did some wrong  I had no choice in my defense Someone watchin' over us  so shout goes out to—I was stealin' from a bitch Back when I was 21 My favorite gun was a SIG 20 in the clip  head one Growin' up  I was a running back You never made me ran once I got shot  sweat started runnin'That shit was red like Hunt I'm kickin'  pimpin' like I punt But don't you think shit's sweet?I'm talkin' sweet  deer meat I'm talkin' suite like he sleep We ain't doin' too much talkin' I'm talmbout talkin' like a speech Like the President  I kill 'em neat I’m talkin' neat like freak I'm talkin' neat like fleek I'm talkin' neat like a geek You come with beef  I eat a BI'm talkin' B’s  spellin' bee Double R  that's a Rolls Paint it yellow like it's dairy I'm talkin' Rose like Derrick I'm talkin' rolls like a belly Like a new car  I got two keys Tryna score the bucket like a Chevy seat Then I heard they been pullin' all week I'ma use your name like  ""Who is he?""You get it? Haha!I said I'ma use a name like  ""Who is he?""Got some gold on  leprechaun  sheesh Deep sleep short for deceased Big bezel on the Patty I’m talkin' PADI—I meant Patek Don't try to take it  I got guns I'm talkin' guns  not pellets I watch the game from the floor I'm talkin' wood  first mattress I'm talkin' wood  pants down I'm talkin' woods like them clowns I got my mink off a monkey I'm talkin' monkey like Jumanji All your diamonds partly sunny I'm talkin' sunny like D  Sunny My diamonds wet  it cost me money I'm talkin' wet like it's runnin' I'm talkin' wet like Katrina I'm talkin' wet like Dasani  huh And I'm convinced I made sacrifices  I been ballin' ever since We seein' so many blessings  shit don't make no sense Someone watchin' over us  so shout goes out to Him Yeah  I'm convinced I made sacrifices  I been ballin' ever since Yeah  I did some wrong  I had no choice in my defense Someone watchin' over us  so shout goes out to—56Embed"
8,0,5,FP,"regex,roberta,llama,qwen,bert",What They Gonna Do,"['JAY-Z', {'label': 'spotify:artist:3Isy6kedDrgPYoTS1dazA9'}]","What They Gonna Do Lyrics Yeah Haha  yeah Yeah Show out her wild side  push out her backside If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her What the fuck they gon' do with me?Got money  got broads  got a crew with me Gorillas  banana clips  I got a zoo with me Get down or lay down nigga to shoot with me Now how the fuck they gon' deal with me?I ain't going nowhere  they gotta deal with me Got the whole BK ready to kill with me You scared motherfucker? Keep it real with me Keep it real with me Now what the fuck they gon say to me? Got to clap  yi mean?All day with me  clap  yi mean?Don't play with me  clap  yi mean?Stay with me  don't lose me y'all And please don't confuse me with dawg  I'm different I bought it back for a living Thirty-three O's on a chick back like Pippen Three she can keep for herself and distribute Thirty-six O's in a ki  you do the addition Before Mitchell and Ness did it I was moving birds like a Oriole fitted I'm Cal Ripken Jr.  let's get it If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her You might also like Honey  what they gon' say to you?Got your hair did and your favorite shoes Tell 'em don't play with you Get 'em away from you  you need a baller like ICall 'em like I  see 'em like  ""Nah""Move over  y'all amateurs No  you not balling  that's Pro-Am shit Oh  stop calling that's ho man shit Stop falling asleep  that's old man shit I stands up in it like a champ up in it Be up in it so long  get my calls transferred in it No more minute man in it Get my Soundscan  BDS and Market at Glance in it If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her  You got starch in your flow I flow too many ways  got a arch in my flow  all sorts of flow Rembrandt  Rilke  I am art with the flow Even if I'm guilty  you gotta pardon the flow Niggas taking it lightly  had to darken the flow Way I put it together  tear 'em apart with the flow I'm too smart with the flow  you just started the flow Stop it youngin  you 106 & Park with the flow I am pro  as you see  I'm off the charts with the flow Actually I'm number one on the charts with the flow In some places they say this  I am God with the flow Like my office but they're biased  too involved with the flow Although I am the youth spirit  I am y'all with the flow Troubled man  dare I say  I am Mar' with the flow I come up hard but I evolve with the flow Crossover  slam dunk  Rucker Park with the flow  let's go If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her If you with us  throw the diamond up one time Ladies  if you with us  just grind to the bassline Homie  don't be scared to grab her from behind And make her Yes  yes Yes  yes Yes  yes Yes Yo yo yo  yo yo yo  yo yo yo Yo yo yo  yo yo yo  yo yo yo Oh  oh  oh  yo Yo yo yo  yo yo yo  yo yo yo I need a girl right now  yo  I need a girl right now  yo Yo yo yo  yo yo yo  yo yo yo I need a girl right now  yo  can I see your backside? Yo Yo yo yo  yo yo yo  yo yo yo I need a girl right now  yo  can I see your backside? Yo I need a girl right now  yo  can I see your backside? Yo Yo  yo1Embed"
49,0,5,FP,"regex,roberta,llama,qwen,bert",Fine China,"['Future', 'Juice WRLD']",Translations Türkçe Русский Fine China Lyrics The world on drugs Ten  thousand dollar plates Thousand dollar plates Thousand dollar plates  fine china Shorty like a  uh Shorty like a Shorty like a thousand dollar plate  fine china Tell her that she beautiful every day  I remind her Then I jump in her pussy like a lake  I'm a diver And her last man was a pussy  had a vagina I get lost in her eyes  like dust from the skies It's her body or nobody  I refuse to compromise So if she leaves  I'ma kill her  oh  she'll die Did I say that out loud? I'm so crazy about mine Goin' insane  feel you pickin' up and movin' things inside my brain I know I don't have to argue about everything But we don't have the same soul Would've sold yours too and got a bigger bankroll You tell me that you love me  baby  say it again Repeat it over and over until it's in my brain Picked up the drugs so I let my brain go Woulda fried yours too  but I'm selfish about my Percs  oh Shorty like a thousand dollar plate  fine china Tell her that she beautiful every day  I remind her Then I jump in her pussy like a lake  I'm a diver And her last man was a pussy  had a vagina I get lost in her eyes  like dust from the skies It's her body or nobody  I refuse to compromise So if she leaves  I'ma kill her  oh  she'll die Did I say that out loud? I'm so crazy about mine I'm so crazy about mine I'm goin' to Pluto with my girl I'm goin' to Jupiter with my girl I'm goin' to Mars with my girl I'm goin' to Saturn with my girl Been feelin' like I'm runnin' out of space You need to send your location  I can't think I done fell in love twice but I gotta be lyin''Cause I'm livin' ten lives  I go crazy about mines  ayy You might also like Shorty like a thousand dollar plate  fine china Tell her that she beautiful every day  I remind her Then I jump in her pussy like a lake  I'm a diver And her last man was a pussy  had a vagina I get lost in her eyes  like dust from the skies It's her body or nobody  I refuse to compromise So if she leaves  I'ma kill her  oh  she'll die Did I say that out loud? I'm so crazy about mine Did I say that out loud? I'm so crazy about mine45Embed
83,0,5,FP,"regex,roberta,llama,qwen,bert",Right Foot Creep,['YoungBoy Never Broke Again'],Right Foot Creep Lyrics I said right foot creep  ooh  I'm walking with that heater Look around  stay low  make sure they don't see you Catch 'em bad  walk down  face 'em with that heater The devil under your feet  you're on your way to see him Stretch me one  I can't sleep  bang out when I see you Play with me  you can't sleep  we gunnin' to decease you You won't have no case  rearrange your shape soon as they face you You won't have no space  we in your section 'til we spray you Put your mask on  yeah  they comin' out Soon as they close that door  we just gon' walk down They say we dead wrong 'cause we knocked him off But he who got caught lackin'  tell that bitch that that's his fault If we draw down  guns get let off At all them clowns  including his spouse Kept that blick inside my drawers Every time I walked to Dalton I worked for Tim and sold CD's You throw a diss and you get tossed Say you ain't catch that  cross my name up  ain't no talking If they had a bang-out at the store  from my papa window  I could see it sparkin'But I ain't seen that since Jordan Dixon made some niggas some targets Big 40  got that shit on me in a stolo  nigga knowin' that it's retarded I spit that shit that cause a massacre at the party  believe that I said right foot creep  ooh  I'm walking with that heater Look around  stay low  make sure they don't see you Catch 'em bad  walk down  face 'em with that heater The devil under your feet  you're on your way to see him Stretch me one  I can't sleep  bang out when I see you Play with me  you can't sleep  we gunnin' to decease you You won't have no case  rearrange your shape soon as they face you You won't have no space  we in your section 'til we spray you You might also like When I jump out the back  I'ma hit it I'ma aim with the strap at his fitted Throwin' out the murder bags in my city Play-by-play while I'm standin' on Billy Dirty Drac'  take the top off the Hemi Fully equipped it when we go on a mission Take his face  I ain't showin' no pity Closed case  tell them all good riddance Zombieland where the dogs can scent it Sprinter van and we all be in it Catch him first  get a raw percentage If you want  I put a coffin in it I could get you one from inside my home I just want to check the bitch out for attendance Tell them niggas I say fuck 'em all And I'ma kill all you bitches I said right foot creep  ooh  I'm walking with that heater Look around  stay low  make sure they don't see you Catch 'em bad  walk down  face 'em with that heater The devil under your feet  you're on your way to see him Stretch me one  I can't sleep  bang out when I see you Play with me  you can't sleep  we gunnin' to decease you You won't have no case  rearrange your shape soon as they face you You won't have no space  we in your section 'til we spray you6Embed
97,0,5,FP,"regex,roberta,llama,qwen,bert",Gnat,['Eminem'],Translations Türkçe Русский Português Italiano FrançaisفارسیGnat Lyrics Yeah  yeah  sick They say these bars are like COVID You get 'em right off the bat Infected with SARS and Corona Like you took a bite off of that And it goes from martian to human That's how the virus attacks They come at me with machine guns Like trying to fight off a gnat Still stackin' my chips  hoes Higher than Shaq on his tiptoes Atop the Empire State Buildin'This shit is like child's play  childrеn I will anni-nihilate  kill them I'll fuck around and pile еight million Dead little juveniles  wait  chill  then I'll await my trial date 'til then Ain't nothin' you say could ever trump   mic  pencil get killed If you're hypersensitive  I wasn't referencin' the vice president  chill I mean my penmanship at times tends to get ill  violence but with skill That's why I hence when I write ends up with the mic and pencil gettin' killed And I'm still ride or die for the squad So you know which side that I'm on If a battle line's ever drawn  but if I get involved It'll be like K9's in a brawl But not similar to Mike Vick at all'Cause even if I don't have a dog in the fight They ain't never gonna get rid of the fight in the dog Got stripes like a tiger  so you might get mauled  a mic in the palms Like claws  I can swing right for your jaw And rip it off with one swipe of the paw Bitch  you still on my dick or nah? If I suck  your wife is a straw I'm sick and I'm not gonna cover my mouth next time that I cough 'cause You might also like They say these bars are like COVID You get 'em right off the bat Infected with SARS and Corona Like you took a bite off of that And it goes from martian to human That's how the virus attacks They come at me with machine guns Like trying to fight off a gnat And d.a. got that dope he sends to me It's like pneumonia symptoms and contracting COVID instantly Which is what separates my flow from theirs So that no one gets even close to this to pose a risk to me So vocalistically   that's social distancing Flow going viral  you best stay strapped With that Lysol and get way back Get that Pine-Sol and that Ajax'Cause this dry cough is just like football umpires callin' a playback Bitch  back the fuck up like fifteen yards  these rhymes call for a face mask 'Nother fourteen-day quarantine  they're cordoning off everything This shit lookin' like a horror scene  like me metaphorically 'Cause them stay-at-home orders seem Like they just keep getting more extreme Who knows when this nightmare will end ? Like Monroe  Norma Jean Still got that heroin lyrical drip with that morphine and that Thorazine'Cause I'm so fuckin' dope  and you're a fiend And that's the one thing that hasn't changed For some semblance of normalcy But I might need that Hydrochloroquine 'cause I got that The Dark Horse  I'm a knight-mare Mom fed me Valium like air Thought that's why they called it a high chair I got a contact like eyewear Wait a minute  bitch  let me lie here 20/20 hindsight in my side mirror Every year  you drop the ball like Times Square My hair trigger whenever I get an idea's Like  fuck  now my name rings out like a sponge mop And my drip was a drop In the bucket  so that gun shot You just heard just now in that one spot Just came from the nine mil' that I just got That's big bucks and I got a full money clip and I'm loaded I ain't even mean to go the fuck off And I'm still totally inappropriate with an opiate Groping it while I'm holding it like a trophy I'm hoping a little codeine'll get me OD'in'Woah  everything is slow  I begin to floating I know that I'm getting loaded  the pen exploded Hiroshima with the flows  a utopia With the dope  I'm an OG  I'm like the G.O.A.T.​Here to get your goat little bit of sodium  it's assault When I'm at the podium  at your throat  holy camoly I'm in the zone with the shit I'm on Get Imodium and a commode because nobody's even close You're petroleum to plutonium  you're a phony I'm at the crib with your ho Got her at the pole like voting with no clothing Stripped down to a toe ring and here we go with the gloating I've got my nose in the air like a Boeing Then I got into a little bit of an argument with her So I took a little lick of a Klonopin at dinner Then I hit her with the motherfucking ottoman and bit her Then I shot her in the liver  delivered her to the bottom of the river But I'm probably gon' jump in the water with her With a wad of money 'cause I got a lot of it And when it come to drippin'  I be soppin' like a hundred mile an hour Never runnin' out of either one of 'em  I gotta get it 'cause They say these bars are like COVID You get 'em right off the bat Infected with SARS and Corona Like you took a bite off of that And it goes from martian to human That's how the virus attacks They come at me with machine guns It's like trying to fight off a gnat 221Embed
113,0,5,FP,"regex,roberta,llama,qwen,bert",Menace,"['Lloyd Banks', {'label': 'spotify:artist:67gqUXxHedeUGDTxwBzdjS'}]","Menace Lyrics Yo  since my DOB  they knew I'd be a menace  believe in me Threw on my shades and S-O-X hat  back on my Eazy-EI hit my number every time and I'm rapping on PEDs Made millions off MP3s  did that with a GEDYou done fucked up all your handouts  just back to your EBTTop down on the Interstate  make the back of the GT bleed You never really did shit so your story's a easy read I'm sharp as ever and get to the Benjamins like Embiid I'm a true boss  blue Porsche  don't get too lost  new cause My lil' nigga bangin'  sеnd him  knock your bitch ass roof off Got these fools sick  makin' it hard to ditch that flu cough I'm rechargеd again  couple of mil' to get back  few tours Splatters paint a picture Shit been lookin' blurry on your end  the fuck I'm hangin' with ya?You been seeking strangers for attention Thought that fame would get ya Went and did do magic  kill your haters with the same elixir Bankroll in this motherfucker  nigga Nigga  add it to my legend I'm back to drop another classic on you and we all know what I'm reppin'Southside is the section Learn to keep it low  mind your own if you go with no connection Dawg  imagine how I'm steppin'Loyal to my family every hour  minute  second Nigga  add it to my legend Came alone and leave alone  I had to learn my lesson Yeah  you already know when they cut the Pro Tools on I slaughter any production I gotta lay vocals on Them old niggas didn't embrace a nigga with open arms Fuck them niggas  they broke and I'm only focused on the bag  nigga Asked my young boy  ""What you smokin' on?"" He say  ""This just a pack of a dead opp"" The back of your head drop from this MAC when his lead pop Made a couple million dollars from rappin'  the Feds watch Like we actually still package and wrappin' on rap block We just dropping back-to-back and we back for your head top  nigga When I'm on Dyckman  bitches call the Machine ""Big Papi""And not the guy that bat for the Red Sox If you diss me in your song  you think I'm 'bout to respond With a verse? Nah  I get you back with a headshot Look  the comparisons is usually not wise If you didn't cop pies  two of your top fives  Machine You might also like Nigga  add it to my legend I'm back to droppin' another classic on you and we all know what I'm reppin'Southside is the section Learn to keep it low  mind your own if you go with no connection Dawg  imagine how I'm steppin'Loyal to my family every hour  minute  second Nigga  add it to my legend Came alone and leave alone  I had to learn my lesson Yo  God gave me the gift of gab  slick talked my way out a polygraph I'm in my ""catch a body"" bag  skin strong as Bacardi glass Play 'round  everyone gon' leave out with something like party bags Pricy army tags  weed hitting over a Ferrari dash Just a sorry class  ten toes watchin' the market crash Wasn't no Target slash  those stick around with no parking pass Sticky palms of hash  brown bag keys and apartment stash It's only right I shine bright  made it out of a darker past Cracked the windows  let the heaters in  always been superstitious Ain't no way around the PTSD from the cruel conditions Everything is independent now  droppin' on due permission Probably learn a thing or two if you listen  my nigga Your man a soldier  he'll holla back when the dance is over Two middle fingers  put ""Fuck yous"" up to the cancel culture Can't stand a vulture  his sickening borders'll anecdote ya The very moment shit hit  the plan is over  boy Nigga  add it to my legend I'm back to droppin' another classic on you and we all know what I'm reppin'Southside is the section Learn to keep it low  mind your own if you go with no connection Dawg  imagine how I'm steppin'Loyal to my family every hour  minute  second Nigga  add it to my legend Came alone and leave alone  I had to learn my lesson2Embed"
124,0,5,FP,"regex,roberta,llama,qwen,bert",Love Me More,['Trippie Redd'],Translations Español Русский Love Me More Lyrics Internet Money  bitch Hahahaha  Nick  you're stupid I wish that you would love me I wish that you would love me more Nobody else but me Like  shawty  what you asking for? And lil' bitch  I'm right here  ayy Like  shawty  what you looking for? Yay  yay I ain't goin'  uh  I ain't goin' away Like  shawty  right there  right there  ayy Nobody can compare  can compare I know it ain't fair   ain't fair All mine   all You're all mine   all of mine Callin' and brawlin' all the time Fallin' in love when it all ain't right Crawlin' in my arms when you cry I don't wanna love  I don't wanna fuck with you Shawty  keep my love  shawty  keep my love with you I know that I'm stuck  I know that I'm stuck with you Yeah  and I know that's the issue  oh I wish that you would love me I wish that you would love me more Nobody else but me Like  shawty  what you asking for? And lil' bitch  I'm right here  ayy Like  shawty  what you looking for? Yay  yay I ain't goin'  uh  I ain't goin' away Like  shawty  right there  right there  ayy Nobody can compare  can compare I know it ain't fair   ain't fair All mine  all I don't wanna love  I don't wanna fuck with you Shawty  keep my love  shawty  keep my love with you I know that I'm stuck  I know that I'm stuck with you Yeah  and I know that's the issue  oh You might also like29Embed
127,0,5,FP,"regex,roberta,llama,qwen,bert",In Your Head,['Eminem'],Translations Italiano In Your Head Lyrics What's in your head  in your head Zombie  zombie  zombie-ie-ie What's in your head  in your head Zombie  zombie  zombie-ie-ie  oh I'm packin' up my shit  as much shit in the car as I can fit And I'm just drivin' as far as I can get Away from these problems 'til all of my sorrows I forget What's tomorrow like? 'Cause tonight I'm startin' life again Get to the corner and stop  fuck am I goin'?Besides psycho when I fantasize startin' my whole life over Yeah right  oh and I might go and Get hypnotized so I don't even recognize no one I try to look alive but there's nothin' like holdin'Your head up high when you're dead inside and I just died  so in Case you're wonderin' why are my insides showin''Cause I done spilled all my guts and those are mine  so I'm Pickin' 'em up and stuffin' 'em back Fuck it  I've done enough in this rap shit Recovery brought me nothin' but back To right where I was and perhaps This coulda been my victory lap  if I wasn't on the verge of relapse]What's in your head  in your head Zombie  zombie  zombie-ie-ie What's in your head  in your head Zombie  zombie  zombie-ie-ie  oh It seems to be the reoccurring main theme The shit I would daydream as a kid  I was eighteen I went from an irate teenager to still raging As adult  amazing: back then I put anything Into the rhyme  whether it was sad  mad  happy or angry I spit it  the mainstream  I hit it Yay me  I did it! …Did what?Hailie  baby  I didn't mean to make you eighty Percent of what I rapped about Maybe I shoulda did a better job at separating Shady and entertaining from real life But this fame thing is still the hardest thing to explain It's the craziest shit IEver seen  and back then it was like I ain't even Bothered taking into consideration You one day being older and may hear me say things I didn’t  mean and  just ain’t me Okay  so ladies and gentlemen Let's strip away everything and see the main reason that IFeel like a lame piece of shit  I sound cranky and bitter Complain  beef and bicker 'bout the same things'Cause when I look at me  I don't see what they see I feel ashamed  greedy And lately I've been contemplating Escaping to get away and go wherever this road takes me It's making me crazy  what's in my—You might also like What's in your head  in your head Zombie  zombie  zombie-ie-ie What's in your head  in your head Zombie  zombie  zombie-ie-ie  oh120Embed
158,0,5,FP,"regex,roberta,llama,qwen,bert",Too Much Pride,"['Mozzy', {'label': 'spotify:artist:3MeyqB6fA2aj1NZq6ztjRk'}, {'label': 'spotify:artist:2PBl174x5RKc6Q5aAECeQs'}, {'label': 'spotify:artist:49vCIUW46QY3L5vo1xVFoy'}]",Too Much Pride Lyrics It's too much pride to shed a tear  I let the song do all the crying for me And I can never turn my back on the people do all the sliding for me Gang ties  off the waistline  hella quick Crash dummies be irrelevant when we be nailin' shit I been on hella skits  and I got more to go Fuck your deepest condolences  all we want is smoke Always been a nigga in your corner rootin'Valuable to the circle 'cause he do more than shootin'Sometimes I get distractеd and ignore the music Tell my brothеr it's bulletproof  bitch it's more than music Gang member  still the same nigga  win or lose I never change nigga I'ma hang with ya  same jersey in this game with ya Drive the lane with ya incase you pass it off Can't name a time that you needed me and I Throwing shots at the enemies   tryna tag them all feel like it didn't count at all Thought we got a bull  he wasn't that at all smoke bitch  I won't pass it off It's too much pride to shed a tear  I let the song do all the crying for me And I can never turn my back on the people do all the sliding for me Gang ties  off the waistline  hella quick Crash dummies be irrelevant when we be nailin' shit I been on hella skits  and I got more to go Fuck your deepest condolences  all we want is smoke I know you heard that we made it  but I'm still thuggin' though Huggin   chiefin' exotic while it burn slow I had to cut some niggas off  cause they was turning cold I lost  but I know he felt the burn though Thumbing through paper  I'ma make it while the world closed Posted in vacants  we still trappin' when it's foreclosed I'm stackin' up for that  push the button  the door close A couple real niggas left  you know I'm one of those Off the hip  lettin' it drip Willing to die behind my guy  just to let you know He crossed the code and broke my heart  I had to let him go Suicide up by my side  I'm forever I rep the   nigga It's too much pride to shed a tear  I let the song do all the crying for me And I can never turn my back on the people do all the sliding for me Gang ties  off the waistline  hella quick Crash dummies be irrelevant when we be nailin' shit I been on hella skits  and I got more to go Fuck your deepest condolences  all we want is smoke You might also like I've been to hell and back   no one can  me Tell 'em it ain' nothing stoppin' 'em  come and get me Throwin' bullets get yo' ass intercepted  you coming with me Get the drop  I'm at your spot playin' butcher like I was Depending on the ticket  no telling what you receivin'Homie  I don't do the forgiving  I'm getting even Take it up with God and your spirit might get relievin'Though for now I gotta spin 'til no  that you breathin' my niggas only  no crashin'  no registration Dependin' on how I'm feelin'  your niggas won't be escaping Everything I say mandatory  evacuation My niggas pulling up all black  segregation It's too much pride to shed a tear  I let the song do all the crying for me And I can never turn my back on the people do all the sliding for me Gang ties  off the waistline  hella quick Crash dummies be irrelevant when we be nailin' shit I been on hella skits  and I got more to go Fuck your deepest condolences  all we want is smoke Embed
194,0,5,FP,"regex,roberta,llama,qwen,bert",Slimey,['Mozzy'],Slimey Lyrics Gangsta to the bone  I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent losses  slimey is the move Gangsta to the bone  I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent lossеs  slimey is the move I ain't fuckin' with my niggas on no social sitе That EDD will give you 20 if the social right The sucka must ain't get the memo that it's on for life He wanna box like we ain't put his partner in a box I hate the niggas that don't slide but always send the drops And my behind the arc is pretty  ain't gon' miss a shot I look for signs  I'm tryna see if you gon' switch or not It's cinnabuns on everything when woahdy spin the block Don't stick your nose inside my business  shit will get you popped Not only jeopardize my freedom but I risk a lot My youngin' twelve and raisin' hell  can barely lift the chop I shit you not  he pull that thang and take the shit you got Gangsta to the bone  I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent losses slimey is the move Gangsta to the bone I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent losses  slimey is the move Hey I get tired of all the lies Like when you see me  you gon' slide'Cause when you see me you be vibin' like you love a nigga And all these cases they got open  they still hunt a nigga I spent 100 for this chain  why would I tuck it nigga?Hey that lil Cartier too plain  go 'head and bust it nigga I treat him like he got the Covid  I don't trust you niggas I heard it's up then tell him book me for a show or somethin'I bet I show up like promoters and them owe me somethin'We smokin' cutie by the onion  it's exotic flavors They turn lil dootie to a doobie  he was not a gangsta Your resume has been displayed and it ain't nothin' major I kept it player 'bout these bitches  y'all be player haters Gangsta to the bone  I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent losses slimey  is the move Gangsta to the bone  I'm on yo head about my goons Pray I never have to eat another spread inside that cube Disregard the suckas talkin' spicey on the tube Them niggas sick from recent losses slimey is the move You might also like Embed
